areaCode,areaName,areaType,date,cumCasesByPublishDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedThirdInjectionByVaccinationDate
E06000023,"Bristol, City of",utla,2022-03-14,149088,,,
E06000023,"Bristol, City of",utla,2022-03-13,147153,360964,337124,261066
E06000023,"Bristol, City of",utla,2022-03-12,147153,360959,337083,261036
E06000023,"Bristol, City of",utla,2022-03-11,147153,360901,336919,260849
E06000023,"Bristol, City of",utla,2022-03-10,146467,360860,336830,260708
E06000023,"Bristol, City of",utla,2022-03-09,145792,360829,336754,260581
E06000023,"Bristol, City of",utla,2022-03-08,145181,360784,336650,260389
E06000023,"Bristol, City of",utla,2022-03-07,144691,360735,336565,260240
E06000023,"Bristol, City of",utla,2022-03-06,143637,360706,336511,260123
E06000023,"Bristol, City of",utla,2022-03-05,143637,360698,336489,260093
E06000023,"Bristol, City of",utla,2022-03-04,143637,360623,336307,259795
E06000023,"Bristol, City of",utla,2022-03-03,143198,360549,336184,259648
E06000023,"Bristol, City of",utla,2022-03-02,142833,360524,336120,259518
E06000023,"Bristol, City of",utla,2022-03-01,142470,360459,335989,259309
E06000023,"Bristol, City of",utla,2022-02-28,142128,360426,335915,259129
E06000023,"Bristol, City of",utla,2022-02-27,141425,360397,335772,258992
E06000023,"Bristol, City of",utla,2022-02-26,141425,360387,335752,258945
E06000023,"Bristol, City of",utla,2022-02-25,141425,360308,335574,258672
E06000023,"Bristol, City of",utla,2022-02-24,141159,360241,335477,258513
E06000023,"Bristol, City of",utla,2022-02-23,140814,360181,335351,258344
E06000023,"Bristol, City of",utla,2022-02-22,140512,360106,335250,258109
E06000023,"Bristol, City of",utla,2022-02-21,140166,360037,335127,257780
E06000023,"Bristol, City of",utla,2022-02-20,139844,359997,335037,257631
E06000023,"Bristol, City of",utla,2022-02-19,139585,359984,335002,257570
E06000023,"Bristol, City of",utla,2022-02-18,139181,359885,334824,257251
E06000023,"Bristol, City of",utla,2022-02-17,138686,359861,334772,257156
E06000023,"Bristol, City of",utla,2022-02-16,138175,359783,334582,256916
E06000023,"Bristol, City of",utla,2022-02-15,137660,359718,334347,256541
E06000023,"Bristol, City of",utla,2022-02-14,137183,359641,334172,256321
E06000023,"Bristol, City of",utla,2022-02-13,136813,359604,334105,256100
E06000023,"Bristol, City of",utla,2022-02-12,136454,359588,334044,256057
E06000023,"Bristol, City of",utla,2022-02-11,136028,359480,333795,255633
E06000023,"Bristol, City of",utla,2022-02-10,135508,359380,333634,255334
E06000023,"Bristol, City of",utla,2022-02-09,134898,359313,333514,255144
E06000023,"Bristol, City of",utla,2022-02-08,134214,359214,333257,254844
E06000023,"Bristol, City of",utla,2022-02-07,133571,359138,333133,254498
E06000023,"Bristol, City of",utla,2022-02-06,133086,359076,332914,254250
E06000023,"Bristol, City of",utla,2022-02-05,132615,359035,332818,254120
E06000023,"Bristol, City of",utla,2022-02-04,131994,358913,332533,253699
E06000023,"Bristol, City of",utla,2022-02-03,131221,358834,332409,253418
E06000023,"Bristol, City of",utla,2022-02-02,130381,358781,332256,253181
E06000023,"Bristol, City of",utla,2022-02-01,129482,358648,332041,252888
E06000023,"Bristol, City of",utla,2022-01-31,128386,358556,331933,252556
E06000023,"Bristol, City of",utla,2022-01-30,120408,358502,331792,252271
E06000023,"Bristol, City of",utla,2022-01-29,119790,358435,331688,252056
E06000023,"Bristol, City of",utla,2022-01-28,119141,358131,331255,251420
E06000023,"Bristol, City of",utla,2022-01-27,118328,357978,331034,251133
E06000023,"Bristol, City of",utla,2022-01-26,117522,357853,330906,250789
E06000023,"Bristol, City of",utla,2022-01-25,116707,357747,330670,250318
E06000023,"Bristol, City of",utla,2022-01-24,116032,357634,330530,249733
E06000023,"Bristol, City of",utla,2022-01-23,115365,357562,330344,249330
E06000023,"Bristol, City of",utla,2022-01-22,114771,357410,330197,249054
E06000023,"Bristol, City of",utla,2022-01-21,114189,357080,329726,248026
E06000023,"Bristol, City of",utla,2022-01-20,113473,356934,329488,247376
E06000023,"Bristol, City of",utla,2022-01-19,112780,356835,329342,246903
E06000023,"Bristol, City of",utla,2022-01-18,111967,356696,329103,246393
E06000023,"Bristol, City of",utla,2022-01-17,111309,356549,328903,245654
E06000023,"Bristol, City of",utla,2022-01-16,110771,356451,328766,245159
E06000023,"Bristol, City of",utla,2022-01-15,110291,356323,328595,244875
E06000023,"Bristol, City of",utla,2022-01-14,109704,355976,328140,243363
